LON,LAT,VALUE
103.841,36.0725,85
103.831,36.0464,85
101.748,36.6428,85
86.2022,41.7192,85
125.25,43.8167,84
123.439,41.7089,84
120.4247,41.5647,84
117.8477,36.497,84
117.8184,40.9733,84
116.8584,38.3254,84
114.8949,30.2043,84
113.1094,29.3578,84
111.6975,28.9703,84
105.8161,30.6347,84
104.1731,36.5481,84
127.5044,50.2391,83
120.537,36.865,83
119.0586,36.7225,83
118.778,32.0723,83
116.8854,38.2991,83
116.434,39.8745,83
115.931,28.6844,83
115.852,28.6869,83
105.18,37.0172,83
104.7547,29.3628,83
125.217,43.85,81
123.0156,41.0831,81
119.9736,31.8108,81
119.935,31.7039,81
119.0018,25.4552,81
118.803,32.0314,81
117.1694,34.1781,81
116.361,39.9425,81
113.884,35.272,81
113.2117,29.355,81
113.1493,29.4251,81
112.7549,37.7019,81
111.6892,28.9881,81
111.1283333,37.51,81
119.7624,40.0181,80
118.6663,24.9424,80
118.1694,26.6383,80
118.0482,36.8088,80
117.5564,34.864,80
116.943,36.6489,80
116.434,39.9522,80
113.836,35.31,80
110.48,29.1389,80
109.9734,39.7884,80
104.7692,29.3411,80
103.631,36.1031,80
120.3664,36.1032,79
120.039,35.872,79
119.4369444,32.18888889,79
119.146,31.955,79
118.626,32.0878,79
118.1997,39.6295,79
118.1371,30.2756,79
118.0448,36.838,79
117.8512,36.8041,79
116.989,33.6306,79
116.93,36.67,79
116.473,39.9716,79
115.892,28.6425,79
112.5369,37.8692,79
105.8614,34.5653,79
102.0199,35.5102,79
120.302,31.92,78
119.959,37.18,78
119.438,31.317,78
118.981,25.4792,78
118.295,35.0583,78
118.2764,34.9817,78
116.3553,27.9883,78
112.7194444,37.68277778,78
112.427,23.0706,78
122.9642,41.0971,77
125.3649,43.8748,76
125.2786,43.84,76
123.2,41.1953,76
122.2603,43.6267,76
121.6561,42.0186,76
120.1964,36.3083,76
120.0469,31.7694,76
118.6672,37.4314,76
116.6838,39.5178,76
112.885,23.1572,76
112.3744,28.5819,76
111.0419,32.395,76
107.0154,33.0706,76
106.6527,23.8844,76
106.0642,30.7636,76
93.4961,42.8328,76
86.1461,41.7511,76
131.1516,46.6462,75
122.215,40.6511,75
120.76,27.9747,75
119.9167,31.9017,75
119.6942,30.2311,75
119.4686,32.3942,75
117.9544,36.6377,75
113.292,22.8054,75
113.2621,29.4758,75
106.2739,38.4841,75
104.7778,29.36028,75
122.0539,41.0903,74
120.3471,36.0699,74
119.996,31.7586,74
119.8767,32.3292,74
119.46,31.4,74
118.907,32.105,74
118.737,32.0092,74
118.0936,24.5058,74
116.3574,28.0005,74
113.1306,40.9923,74
112.549,37.9854,74
112.3458,28.5808,74
109.9486,39.8261,74
119.9,32.4867,73
119.888,32.4639,73
119.879,28.4231,73
118.78,36.864,73
118.1756,26.6272,73
117.541,36.71,73
116.407,40.0031,73
115.6951,37.7575,73
115.6689,37.739,73
109.8119,39.5989,73
122.8444,45.6289,72
120.091,29.305,72
131.1638,46.6572,71
130.3648,46.8032,71
126.5844,43.8358,71
124.8292,45.0878,71
122.0247,41.1556,71
119.686,29.1029,71
118.5972,24.8978,71
118.4023,35.0896,71
118.3418,35.0573,71
118.3092,36.8198,71
117.973,28.4459,71
117.9511,28.4622,71
116.23,40.1952,71
115.9083,28.6064,71
113.1772,29.3678,71
111.1297,37.5136,71
106.9893,33.1842,71
104.6469,30.1142,71
101.7775,36.6428,71
126.555,43.8875,70
120.7789,30.0033,70
120.605,29.9919,70
119.1117,25.4556,70
112.863,23.1886,70
112.844,22.8693,70
112.565,23.1617,70
112.4722,23.0786,70
112.3347,28.6047,70
107.0089,33.1138,70
104.6289,30.1377,70
100.4497,38.9389,70
131.1572,46.5888,69
125.417,43.8667,69
120.4486,41.5672,69
120.3905,36.1851,69
120.275,31.6219,69
120.245,31.5631,69
120.237,31.909,69
119.9219,32.4611,69
119.794,31.371,69
119.491,32.215,69
118.1819,26.6514,69
118.1513889,24.47666667,69
116.315,39.9934,69
116.225,39.9279,69
114.329,29.8175,69
112.6006,26.8919,69
112.5628,37.8964,69
112.434,38.0108,69
106.6103,23.9011,69
106.1064,30.7856,69
106.0789,30.8023,69
105.7519,30.5797,69
105.0197,37.4514,69
104.6617,30.1366,69
93.5128,42.8172,69
131.1651,46.619,68
126.5786,43.8947,68
125.287,43.91,68
122.1658,40.6789,68
121.6330556,38.91194444,68
120.47,36.39,68
120.301,30.4183,68
120.014,36.253,68
119.5369,39.9419,68
119.5198,35.4234,68
118.8789,42.2556,68
118.777,32.0144,68
117.9664,40.9161,68
116.7464,39.5343,68
111.1406,37.5211,68
109.5683,23.1036,67
121.3719,37.5433,66
120.636,31.155,66
120.628,31.2864,66
120.4001,36.2403,66
120.354,31.5848,66
120.354,31.5475,66
119.6023,39.9567,66
118.9572,42.2725,66
118.9233,42.2814,66
118.871,28.9404,66
118.5819,24.9117,66
117.2852,34.7837,66
116.17,40.2865,66
113.144,23.0467,66
113.0208,23.7106,66
109.7736,39.5986,66
105.5956,30.475,66
87.5801,43.8303,66
129.6386,44.5462,65
121.478,31.2036,65
120.596,31.3264,65
120.561,31.2472,65
120.268,31.92,65
119.976,36.799,65
118.1436,39.6202,65
118.0058,28.4569,65
117.9525,40.9843,65
117.2111,29.2958,65
115.742,28.7994,65
113.6734722,24.77908333,65
113.3769,22.5211,65
112.9958,28.3586,65
112.57,37.8195,65
111.2353,23.415,65
106.6692,35.5461,65
124.3897,43.1847,64
122.122,30.0203,64
120.6659,36.2403,64
120.543,31.2994,64
120.1844,30.8596,64
118.5019,37.4658,64
116.1248,24.2654,64
126.6772,43.7256,63
125.454,43.7878,63
124.0878,41.8864,63
121.14,31.422,63
120.658,31.172,63
120.61,36.44,63
120.288,31.6842,63
119.818,31.354,63
119.5966,39.938,63
117.4518,35.0992,63
112.471,23.0528,63
110.4697,29.1242,63
104.7228,29.33972,63
103.0013,29.9899,63
102.905,35.0003,63
130.9467,45.8309,62
117.7116,24.506,62
116.385,27.9647,62
113.0472,23.63444,62
105.68,30.6133,62
103.2064,35.5997,62
130.962,45.2924,61
123.1289,41.0228,61
121.835,41.1042,61
120.269,31.4867,61
120.242,31.5031,61
119.914,28.4514,61
119.026,29.635,61
118.6108,24.9617,61
113.3444,40.0917,61
113.0425,23.6936,61
112.0539,22.9539,61
106.1031,30.8217,61
105.0406,29.5822,61
87.6432,43.831,61
129.6459,44.6104,60
120.734,31.656,60
120.591,31.3019,60
120.55,31.882,60
119.952,36.792,60
119.4641,35.4178,60
117.6336,24.4674,60
113.134,23.0048,60
113.104,22.6069,60
111.26,23.4794,60
109.6042,23.0672,60
109.6014,23.0944,60
106.1087,30.8388,60
104.7536,31.4539,60
130.2659,47.3349,59
129.61,44.561,59
129.5902,44.5952,59
129.4892,42.8939,59
121.524,29.8506,59
121.412,31.1654,59
120.726,30.7478,59
120.526,31.874,59
120.515,36.885,59
120.294,31.56,59
120.19,30.2692,59
120.088,30.1808,59
119.6533,29.1128,59
119.54,35.3962,59
118.855,28.9745,59
118.293,33.9528,59
116.4094,23.5292,59
113.8531,30.2997,59
113.143,27.8381,59
113.0819,22.5931,59
104.6717,31.4656,59
104.6356,30.1506,59
120.613,31.2703,58
120.2992,36.0543,58
120.211,30.21,58
119.93,28.4586,58
116.6447,23.6706,58
116.3594,23.5739,58
113.9181,22.5171,58
113.598061,24.795928,58
113.4075,22.5111,58
110.4111,21.2028,58
110.1106,22.7019,58
109.5681,23.1478,58
104.7283,31.5072,58
103.7225,27.3361,58
130.261,47.2753,57
116.7519,23.4714,57
116.6339,23.6714,57
114.6622,24.5183,57
113.589,23.5538,57
112.4067,28.6428,57
110.1675,22.6411,57
126.4047,41.9206,56
123.1761,41.2736,56
121.565,38.95111111,56
120.758,31.67,56
120.641,31.3708,56
118.2442,33.9592,56
117.9776,37.393,56
117.9384,41.0112,56
